UniversityName;DepartmentName;Address;UniversityId
Università degli Studi EUROPEA di ROMA;SCIENZE UMANE ; -  ROMA (RM) ;1
"Università degli Studi di ROMA ""Foro Italico""";SCIENZE MOTORIE, UMANE E DELLA SALUTE;piazza Lauro de Bosis 15 - 00135 ROMA (RM) ;2
"Università degli Studi di ROMA ""La Sapienza""";Architettura e Progetto;Via Flaminia, 359 - 00196 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Biologia ambientale;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";"Biologia e biotecnologie ""Charles Darwin""";P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Biotecnologie cellulari ed ematologia;Viale Regina Elena, 324 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Chimica;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Chimica e tecnologie del farmaco;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";"Chirurgia ""Pietro Valdoni""";Viale del Policlinico, 155 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Chirurgia generale e specialistica;Viale del Policlinico, 155 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Comunicazione e ricerca sociale;Via Salaria, 113 - 00198 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Diritto ed economia delle attività produttive;Via del Castro Laurenziano, 9 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Economia e diritto;Via del Castro Laurenziano, 9 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Filosofia;Via Carlo Fea,2 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Fisica;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";"Fisiologia e farmacologia ""Vittorio Erspamer""";P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Informatica;Via Salaria, 113 - 00198 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Ingegneria Informatica, Automatica e Gestionale “Antonio Ruberti“;Via Ariosto,  25 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Ingegneria astronautica, elettrica ed energetica;Via Eudossiana, 18 - 00184 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Ingegneria chimica, materiali, ambiente;Via Eudossiana, 18 - 00184 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Ingegneria civile, edile e ambientale;Via Eudossiana, 18 - 00184 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Ingegneria dell'informazione, elettronica e ;Via Eudossiana, 18 - 00184 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Ingegneria meccanica e aero-spaziale;Via Eudossiana, 18 - 00184 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Ingegneria strutturale e geotecnica;Via Eudossiana, 18 - 00184 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Istituto italiano di Studi orientali - ISO;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Management;Via del Castro Laurenziano, 9 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Matematica;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
