DepartmentName;Address
SCIENZE UMANE ; -  ROMA (RM) 
SCIENZE MOTORIE, UMANE E DELLA SALUTE;piazza Lauro de Bosis 15 - 00135 ROMA (RM) 
Architettura e Progetto;Via Flaminia, 359 - 00196 ROMA (RM) 
Biologia ambientale;P.le Aldo Moro, 5 - 00185 ROMA (RM) 
"Biologia e biotecnologie ""Charles Darwin""";P.le Aldo Moro, 5 - 00185 ROMA (RM) 
Biotecnologie cellulari ed ematologia;Viale Regina Elena, 324 - 00161 ROMA (RM) 
Chimica;P.le Aldo Moro, 5 - 00185 ROMA (RM) 
Chimica e tecnologie del farmaco;P.le Aldo Moro, 5 - 00185 ROMA (RM) 
"Chirurgia ""Pietro Valdoni""";Viale del Policlinico, 155 - 00161 ROMA (RM) 
Chirurgia generale e specialistica;Viale del Policlinico, 155 - 00161 ROMA (RM) 
Comunicazione e ricerca sociale;Via Salaria, 113 - 00198 ROMA (RM) 
Diritto ed economia delle attività produttive;Via del Castro Laurenziano, 9 - 00161 ROMA (RM) 
Economia e diritto;Via del Castro Laurenziano, 9 - 00161 ROMA (RM) 
Filosofia;Via Carlo Fea,2 - 00161 ROMA (RM) 
Fisica;P.le Aldo Moro, 5 - 00185 ROMA (RM) 
"Fisiologia e farmacologia ""Vittorio Erspamer""";P.le Aldo Moro, 5 - 00185 ROMA (RM) 
Informatica;Via Salaria, 113 - 00198 ROMA (RM) 
Ingegneria Informatica, Automatica e Gestionale “Antonio Ruberti“;Via Ariosto,  25 - 00185 ROMA (RM) 
Ingegneria astronautica, elettrica ed energetica;Via Eudossiana, 18 - 00184 ROMA (RM) 
Ingegneria chimica, materiali, ambiente;Via Eudossiana, 18 - 00184 ROMA (RM) 
Ingegneria civile, edile e ambientale;Via Eudossiana, 18 - 00184 ROMA (RM) 
Ingegneria dell'informazione, elettronica e ;Via Eudossiana, 18 - 00184 ROMA (RM) 
Ingegneria meccanica e aero-spaziale;Via Eudossiana, 18 - 00184 ROMA (RM) 
Ingegneria strutturale e geotecnica;Via Eudossiana, 18 - 00184 ROMA (RM) 
Istituto italiano di Studi orientali - ISO;P.le Aldo Moro, 5 - 00185 ROMA (RM) 
Management;Via del Castro Laurenziano, 9 - 00161 ROMA (RM) 
Matematica;P.le Aldo Moro, 5 - 00185 ROMA (RM) 
